Comunidad;Provincia;Poblaci¢n;Latitud;Longitud;Altitud;Habitantes;Hombres;Mujeres
Castilla Le¢n;Burgos;Quemada;41,70045;-3,574928;845,9969;263;159;104
Castilla Le¢n;Burgos;Quintana del Pidio;41,7596;-3,751569;845,543;183;93;90
Castilla Le¢n;Burgos;Quintanabureba;42,58692;-3,366666;685,0708;38;21;17
Castilla Le¢n;Burgos;QuintanaÇlez;42,6687;-3,299189;706,2351;75;41;34
Castilla Le¢n;Burgos;Quintanaortu§o;42,44994;-3,683778;866,8036;233;127;106
Castilla Le¢n;Burgos;Quintanapalla;42,40835;-3,534245;926,6073;125;70;55
Castilla Le¢n;Burgos;Quintanar de la Sierra;41,98133;-3,040702;1123,957;2053;1061;992
Castilla Le¢n;Burgos;Quintanavides;42,48142;-3,424978;821,1276;102;56;46
Castilla Le¢n;Burgos;Quintanilla de la Mata;41,98862;-3,76779;879,5328;147;82;65
Castilla Le¢n;Burgos;Quintanilla del Agua y Tordueles;42,0411;-3,652041;886,2692;546;284;262
Castilla Le¢n;Burgos;Quintanilla del Coco;41,97923;-3,516723;944,5446;87;45;42
Castilla Le¢n;Burgos;Quintanilla San Garc°a;42,54919;-3,193922;728,1328;101;56;45
Castilla Le¢n;Burgos;Quintanilla Vivar;42,41479;-3,690509;847,6979;741;386;355
Castilla Le¢n;Burgos;Quintanillas (Las);42,37259;-3,843971;845,5656;396;218;178
Castilla Le¢n;Burgos;Rabanera del Pinar;41,89267;-3,19425;1089,831;138;78;60
Castilla Le¢n;Burgos;R†banos;42,3198;-3,270114;1169,908;94;53;41
Castilla Le¢n;Burgos;RabÇ de las Calzadas;42,34017;-3,83422;828,6588;213;107;106
Castilla Le¢n;Burgos;Rebolledo de la Torre;42,68719;-4,227346;946,585;144;75;69
Castilla Le¢n;Burgos;Redecilla del Camino;42,43816;-3,065058;742,664;133;76;57
Castilla Le¢n;Burgos;Redecilla del Campo;42,46679;-3,115167;744,6154;75;42;33
Castilla Le¢n;Burgos;Regumiel de la Sierra;41,95593;-2,987816;1119,525;433;220;213
Castilla Le¢n;Burgos;Reinoso;42,51133;-3,381955;857,253;15;11;4
Castilla Le¢n;Burgos;Retuerta;42,02995;-3,507748;898,2924;66;41;25
Castilla Le¢n;Burgos;Revilla del Campo;42,21154;-3,5374;943,8928;119;68;51
Castilla Le¢n;Burgos;Revilla Vallejera;42,14722;-4,134238;790,5965;87;54;33
Castilla Le¢n;Burgos;Revilla y Ahedo (La);41,99827;-3,351927;1016,2;143;79;64
Castilla Le¢n;Burgos;Revillarruz;42,23075;-3,6538;887,4633;443;234;209
Castilla Le¢n;Burgos;Rezmondo;42,51596;-4,238618;829,0405;20;9;11
Castilla Le¢n;Burgos;Riocavado de la Sierra;42,15218;-3,198172;1138,1;60;36;24
Castilla Le¢n;Burgos;Roa;41,69711;-3,928005;816,1801;2495;1303;1192
Castilla Le¢n;Burgos;Rojas;42,57769;-3,4409;722,4857;81;50;31
Castilla Le¢n;Burgos;Royuela de R°o Franco;41,99681;-3,956869;836,2991;244;140;104
Castilla Le¢n;Burgos;Rubena;42,38781;-3,574296;907,232;200;113;87
Castilla Le¢n;Burgos;Rublacedo de Abajo;42,55323;-3,502227;791,6646;34;20;14
Castilla Le¢n;Burgos;Rucandio;42,75172;-3,54248;814,6119;85;44;41
Castilla Le¢n;Burgos;Salas de Bureba;42,69194;-3,473988;636,4282;138;81;57
Castilla Le¢n;Burgos;Salas de los Infantes;42,02327;-3,286438;955,1323;2140;1107;1033
Castilla Le¢n;Burgos;Salda§a de Burgos;42,25925;-3,697733;865,5466;185;104;81
Castilla Le¢n;Burgos;Salinillas de Bureba;42,55315;-3,386741;864,7104;51;32;19
Castilla Le¢n;Burgos;San Adri†n de Juarros;42,2742;-3,475125;1046,845;67;38;29
Castilla Le¢n;Burgos;San Juan del Monte;41,6844;-3,521135;840,6755;148;80;68
Castilla Le¢n;Burgos;San MamÇs de Burgos;42,33744;-3,794107;839,3281;291;161;130
Castilla Le¢n;Burgos;San Mart°n de Rubiales;41,64256;-3,993453;807,8439;190;111;79
Castilla Le¢n;Burgos;San Mill†n de Lara;42,13653;-3,345795;1091,387;75;53;22
Castilla Le¢n;Burgos;San Vicente del Valle;42,3372;-3,162195;959,6901;37;22;15
Castilla Le¢n;Burgos;Santa Cecilia;42,05219;-3,803176;838,1049;105;64;41
Castilla Le¢n;Burgos;Santa Cruz de la Salceda;41,59478;-3,594756;877,335;170;100;70
Castilla Le¢n;Burgos;Santa Cruz del Valle Urbi¢n;42,30286;-3,22192;966,4688;101;61;40
Castilla Le¢n;Burgos;Santa Gadea del Cid;42,71543;-3,059203;504,1093;156;86;70
Castilla Le¢n;Burgos;Santa InÇs;42,03945;-3,702686;855,8006;154;84;70
Castilla Le¢n;Burgos;Santa Mar°a del Campo;42,13218;-3,974421;820,0243;700;377;323
Castilla Le¢n;Burgos;Santa Mar°a del Invierno;42,44278;-3,437732;856,8571;64;45;19
Castilla Le¢n;Burgos;Santa Mar°a del Mercadillo;41,85995;-3,559022;961,0493;150;89;61
Castilla Le¢n;Burgos;Santa Mar°a Rivarredonda;42,6401;-3,180049;687,293;113;67;46
Castilla Le¢n;Burgos;Santa Olalla de Bureba;42,47622;-3,440882;842,1753;39;26;13
Castilla Le¢n;Burgos;Santib†§ez de Esgueva;41,83353;-3,75887;916,1117;126;66;60
Castilla Le¢n;Burgos;Santib†§ez del Val;41,97408;-3,480564;940,0613;65;37;28
Castilla Le¢n;Burgos;Santo Domingo de Silos;41,96238;-3,419734;1003,193;319;197;122
Castilla Le¢n;Burgos;Sargentes de la Lora;42,76923;-3,872826;1016,58;151;85;66
Castilla Le¢n;Burgos;Sarrac°n;42,25746;-3,685354;861,6798;298;165;133
Castilla Le¢n;Burgos;Sasam¢n;42,41784;-4,043491;822,8265;1207;672;535
Castilla Le¢n;Burgos;Sequera de Haza (La);41,56364;-3,817178;865,857;37;24;13
Castilla Le¢n;Burgos;Solarana;41,97002;-3,660142;903,6647;107;57;50
Castilla Le¢n;Burgos;Sordillos;42,46181;-4,107079;820,5914;33;20;13
Castilla Le¢n;Burgos;Sotillo de la Ribera;41,77686;-3,826122;846,7383;588;331;257
Castilla Le¢n;Burgos;Sotragero;42,40995;-3,713181;848,6204;254;138;116
Castilla Le¢n;Burgos;Sotresgudo;42,57833;-4,177177;867,8129;543;315;228
Castilla Le¢n;Burgos;Susinos del P†ramo;42,47124;-3,925125;891,6351;118;74;44
Castilla Le¢n;Burgos;Tamar¢n;42,27272;-3,990991;819,7283;47;28;19
Castilla Le¢n;Burgos;Tardajos;42,34735;-3,819411;820,7985;843;452;391
Castilla Le¢n;Burgos;Tejada;41,95241;-3,536148;1088,137;40;24;16
Castilla Le¢n;Burgos;Terradillos de Esgueva;41,81919;-3,842888;871,492;113;59;54
Castilla Le¢n;Burgos;Tinieblas de la Sierra;42,17256;-3,363317;1117,56;43;24;19
Castilla Le¢n;Burgos;Tobar;42,48387;-3,938603;881,2235;32;20;12
Castilla Le¢n;Burgos;Tord¢mar;42,04587;-3,864727;810,6567;371;210;161
Castilla Le¢n;Burgos;Torrecilla del Monte;42,09386;-3,694269;940,4993;75;39;36
